Date,Price,Ticker
2023-03-07,159.36,TGT
2023-03-08,156.54,TGT
2023-03-09,157.89,TGT
2023-03-10,154.01,TGT
2023-03-13,150.22,TGT
2023-03-14,153.53,TGT
2023-03-15,150.23,TGT
2023-03-16,151.4,TGT
2023-03-17,156.38,TGT
2023-03-20,153.15,TGT
2023-03-21,157.82,TGT
2023-03-22,156.54,TGT
2023-03-23,152.55,TGT
2023-03-24,148.68,TGT
2023-03-27,151.2,TGT
2023-03-28,152.84,TGT
2023-03-29,154.61,TGT
2023-03-30,153.56,TGT
2023-03-31,155.19,TGT
2023-04-03,159.9,TGT
2023-04-04,159.24,TGT
2023-04-05,159.33,TGT
2023-04-06,156.22,TGT
2023-04-10,158.63,TGT
2023-04-11,163.08,TGT
2023-04-12,163.8,TGT
2023-04-13,157.63,TGT
2023-04-14,156.64,TGT
2023-04-17,155.2,TGT
2023-04-18,156.59,TGT
